common_names,other names,country_of_origin
Chatus,"Bolgnino, Bourgnin, Brachet, Brunetta, Burgnin, Carbesse, Chanu, Chany, Charagnot, Charamiot, Chatelos, Chatelus, Chatos, Chatut, Chenu, Corbeil, Corbel, Corbelle, Corbes, Corbesse, Courbet, Gros Chenu, Houron, Korbel, Korbess, Mauvais Noir, Mouraud, Mouret, Mourre, Nebbiolo Di Dronero, Nebbiolo Dronero, Nebbiolo Pairole, Neiret, Neiret Pinerolese, Neretto, Ouron, Persagne Gamay, Scarlattin, Shatu, Shenyu, Siramuse, Syramhuse, Syramuse, Ver Shenyu, Vert Chenu.",France
Chelois,NA,France
Chenanson,"Chenancon, Chenason, Pineau Gros, Shenanson, Vaalblaar Stein.",France
Chichaud,"Brunet, Chicaud, Chichaud Noir, Cico, Tsintsao, Tsintsau",France
Chidiriotiko,Kalloniatiko,Greece
Chisago,NA,United States
Chkhaveri,"Chhaveri, Chkhaveli, Chkhavery, Cxaveri, Riqintuli, Samchkhavera, Tchkhaveli, Tchkhaveri, Tsivtchkhavera.",Georgia
Chondromavro,"Chondromavrouda, Chondromavroudi, Chondromavroudo, Khondromavroud, Khondromavroudi.",Greece
Cianorie,"Canore, Canorie, Chianorie, Cianoria, Cjanorie, Rossarie, Vinosa.",Italy
Cienna,NA,Australia
Ciliegiolo,"Albana Nera, Aleatico Di Spagna, Brunellone, Canaiolo Romano, Ciliegino, Ciliegiolo Di Spagna, Ciliegiolo Nero, Ciliegiona Nera, Ciliegioulo Nero, Ciliegiulo, Ciliegiuolo, Ciligiolo Nero, Ciriegiuolo Dolce, Criminese, Mazzese, Riminese, Riminese Ad Uva Rossa, Riminese Di Color Rubino Di Potercole, Riminese Nero, Riminese Noire, Sangiovese Polveroso, Sangiovese Polveroso Bonechi.",Italy
Cinsaut,"Black Malvoisie, Black Prince, Blue Imperial, Boudales, Bourdales, Bourdales Kek, Bourdelas, Budales, Calibre, Chainette, Cincout, Cing-Saou, Cinq-Sao, Cinq-Saou, Cinq-Saut, Cinqsaut, Cinquien, Cinsanet, Cinsault, Cinsaut Couche, Cubilier, Cubillier, Cuviller, Cuvillier, Espagne, Espagnen, Espagnin Noir, Espagnol, Froutignan, Grappu De La Dordogne, Grecau, Grecu Masculinu, Gros De Lacaze, Gros Marocain, Hermitage, Imperial Blue, Kara, Kara Takopoulo, Madiran, Madiran Du Portugal, Malaga, Malaga Kek, Malvoise, Marocain, Marroquin, Marrouquin, Maurange, Mavro Kara, Mavro Kara Melkii, Milhau, Milhaud Du Pradel, Morterille, Morterille Noire, Moustardier Noir, Navarro, Negru De Sarichioi, Oeillade, Oeillade Noir, Ottavianello, Ottaviano, Ottavianuccia, Ottavinello, Pampous, Papadou, Passerille, Passerille Senso, Pedaire, Petaire, Picardan, Picardan Noir, Piede Di Colombo, Piede Di Palumbo, Piede Rosso, Piqepoul, Piquepoul D'Uzes, Pis De Chevre, Pis De Chevre Rouge, Plant D Arles Boudales, Plant D'Arles, Plant De Broqui, Plant De Broquies, Poupe De Crabe, Poupo De Crabe, Poupo De Crabo, Pousse De Chevre, Pousse De Chevre Rouge, Prunaley, Prunelard, Prunelas, Prunelat, Prunella, Prunellas, Prunellas Noir, S. Saul, Salerne, Samso, Samson, Sao Saul, Senso, Sensu, Sinseur, Sinso, Sinson, Strum, Takopulo Kara, Ulliade, Ulliaou, Uva Spina, West'S White Prolific.","France, Languedoc-Roussillon"
Colombana nera,NA,"Italy, Tuscany and Emilia-Romagna"
Colorino,NA,"Italy, Tuscany"
Complexa,NA,Portugal
Cornalin see Rouge du Pays,NA,"Switzerland, Valais"
Cornifesto,NA,Portugal
Corvina / Corvinone,NA,"Italy, Veneto wine"
Counoise,NA,"France, Rhône wine"
Croatina,NA,"Italy, Lombardia (wine)"
Darnekuša,NA,"Croatia, Hvar"
Dobričić,NA,"Croatia, Šolta"
Dolcetto,NA,"Italy, Piedmont"
Domina,NA,"Germany, Palatinate (wine region)"
Dornfelder,NA,"Germany, Württemberg (wine region)"
Douce noir/Charbono/Bonarda/Turca,NA,"France, Savoy wine, California, Argentina"
Douce Noire grise,NA,France
Dunkelfelder,NA,Germany
Duras,NA,"France, Tarn (river)"
Dureza,NA,"France, Ardèche"
Durif / Petite Sirah,NA,"France, Montpellier"
Ederena,NA,France
Enfariné noir,NA,"France, Jura"
Espadeiro,NA,"Portugal, Minho VR"
Étraire,NA,"France, Rhone, Savoy"
Fer,NA,"France, South West France (wine region)"
Ferrón,NA,"Spain, Galicia"
Fetească neagră,NA,Romania
Forcallat tinta,NA,"Spain, Castile-La Mancha"
Fortana,NA,"Italy, Emilia-Romagna"
Frappato,NA,"Italy, Sicily"
Freisa,NA,"Italy, Piedmont"
Frühroter Veltliner,NA,"Austria, Weinviertel"
Fumin,NA,"Italy, Valle d'Aosta DOC"
Gaglioppo,NA,"Italy, Calabria"
Gamashara,NA,Azerbaijan
Gamay / Gamay noir,NA,"France, Loire valley"
Gamaret,NA,Switzerland
Garanoir,NA,Switzerland
Garnatxa / Grenache / Garnacha / Cannonau /Lladoner Pelut / Lledoner Pelut,NA,Spain
Girò,NA,"Italy, Sardinia"
Gouget noir,NA,France
Graciano/ Moristel/ Juan Ibáñez / Miguel del Arco,NA,"Spain, Rioja"
Grand noir de la Calmette,NA,France
Grisa nera,NA,"Italy, Piedmont"
Greco nero,NA,Italy
Grignolino,NA,"Italy, Piedmont"
Gropello,NA,"Italy, Lombardia (wine)"
Grolleau / Groslot,NA,"France, Loire valley"
Gros Verdot,NA,"France, Gironde"
Gueuche noir,NA,"France, Franche-Comté"
Helfensteiner,NA,Germany
Heroldrebe,NA,Germany
Hondarribi Beltza,NA,"Spain, Basque"
Hron,NA,Slovakia
Humagne Rouge / Cornalin d'Aoste,NA,"Italy, Aosta"
Joubertin / Jaubertin,NA,"France, Savoy wine"
Juan Garcia,NA,"Spain, Galicia (Spain)"
Jurancon noir,NA,"France, Southwest"
Kadarka,NA,Hungary
Kakhet,NA,Armenia
Kalecik Karasi,NA,"Turkey, Ankara Province"
Kindzmarauli/ Saperavi,NA,Georgia
Kotsifali,NA,"Greek, Crete"
Krasnostop Zolotovsky,"Krasnostop, Krasnostop Anapsky","Russia, Rostov Oblast and Krasnodar Krai"
Kratosija,NA,Macedonia
Lacrima di Morro / Lacrima nera,NA,"Italy, Marche"
Lagrein,NA,"Italy, South Tyrol"
Lambrusco,NA,"Italy, Emilia-Romagna"
Liatiko,NA,"Greece, Crete"
Limnio,NA,"Greece, Lemnos"
Listan negro,NA,"Spain, Canary Islands"
Madrasa/ Matrassa,NA,Azerbaijani wine
Magarach Bastardo/Bastardo Magarach,NA,Ukraine
Magaratch Ruby / Magarach Ruby,NA,Ukraine
Magliocco Canino/Maiolica,NA,"Italy, Calabrian wine"
Magliocco Dolce/Marsigliana nera,NA,"Italy, Calabria"
Magyarfrankos,NA,Hungary
Malbec / Auxerrois / Cot,NA,France
Malvasia di Schierano/Malvasia nera,NA,Greece
Mammolo,NA,"Italy, Tuscany"
Mandelaria / Mandelari / Amorghiano,NA,Greece
Mandolari,NA,Greece
Manseng noir,NA,"France, Basque Country (greater region)"
Manto negro,NA,"Spain, Majorca"
Mara,NA,Switzerland
Maratheftiko,NA,Cyprus
Marselan,NA,"France, Languedoc"
Marsigliana,NA,"Italy, Calabrian wine"
Marzemino,NA,"Italy, South Tyrol"
Mauzac noir,NA,Southwest France
Mavro,NA,Cyprus
Mavrodafni/ Mavrodaphne,NA,"Greece, Achaea"
Mavrud / Mavroudi,NA,"Bulgaria, Thrace"
Mayorquin,NA,"France, Provence wine"
Meghrabujr,NA,Armenia
Melnik,NA,Bulgaria
Mencia/ Jaen,NA,"Spain, Galicia"
Merenzao,NA,"Spain, Galicia, Valdeorras (DO)"
Merille,NA,"France, South West France (wine region)"
Merlot,NA,France
Milgranet,NA,"France, South West France (wine region)"
Millot /Léon Millot,NA,"France, Alsace"
Mission,NA,Spain
Molinara,NA,"Italy, Veneto wine"
Mondeuse,NA,"France, Savoy wine"
Monica,NA,"Spain, Italy-Sardinia"
Montepulciano,NA,"Italy, Abruzzo (wine)"
Montù / Montuni,NA,"Italy, Emilia (region of Italy)"
Moreto,NA,"Portugal, Alentejo wine"
Moristel,NA,"Spain, Aragon"
Mornen noir,NA,"France, Rhone"
Morrastel Bouschet,NA,"France, Aude"
Mourisco tinto,NA,Portugal
Mourvèdre / Monastrell / Mataro/ Rossola nera/Garrut,NA,Spain
Mouyssaguès,NA,"France, Marcillac"
Mtevandidi,NA,"Georgia, Guria"
Mujuretuli,NA,Georgia
Muscardin,NA,"France, Southern Rhone"
Muscat Bouschet,NA,France
Muscat Hamburg,NA,Germany
Nebbiolo,NA,"Italy, Piedmont"
Negoska,NA,"Greece, Central Macedonia"
Negrara,NA,"Italy, Veneto wine"
Négrette/ Pinot St. George,NA,"France, South West France (wine region)"
Negroamaro,NA,"Italy, Puglia"
Negru de Dragasani,NA,"Romania, Romanian wine"
Nerkarat,NA,"Armenia, Tavush Region"
Nero Buono di Cori,NA,Italy
Nero d'Avola,NA,"Italy, Sicily"
Nerello Mascalese/ Nerello Cappuccio,NA,"Italy, Sicily"
Neretto di Bairo,NA,Italy
Neyret,NA,"Italy, Valle d'Aosta DOC"
Nielluccio,NA,"France, Corsica"
Ninčuša,NA,"Croatia, Croatian wine"
Nocera,NA,"Italy, Calabrian wine"
Notardomenico,NA,"Italy, Brindisi"
Oeillade noire,NA,"France, Languedoc and Provence"
Ojaleshi,NA,"Georgia, Georgian wine"
Öküzgözü,NA,"Turkey, Elâzığ Province"
Oseleta,NA,"Italy, Verona"
Pais,NA,Spain
Pallagrello nero,NA,"Campania, Italy"
Pamid,NA,Bulgaria
Pascale di Cagliari,NA,"Italy, Sardinia"
Pelaverga,NA,"Italy, Piedmont"
Peloursin,NA,"France, Rhône-Alpes"
Perdal,NA,Portugal
Perricone/Guarnaccia,NA,"Italy, Sicily"
Persan,NA,"France, Savoy wine"
Petit Bouschet,NA,"France, Spain, Portugal, North Africa"
Petit Rouge,NA,"Italy, Valle d'Aosta DOC"
Petit Verdot,NA,"France, South West"
Piccola nera,NA,"Italy, Trieste"
Piedirosso,NA,"Italy, Campania"
Pignerol,NA,"France, Provence wine"
Pignola Valtellinese,NA,"Italy, Valtellina"
Pignolo,NA,"Italy, Friuli-Venezia Giulia wine"
Pineau d'Aunis,NA,"France, Loire Valley (wine)"
Pinot Meunier / Schwarzriesling / Müllerebe,NA,France
Pinot noir / Spätburgunder / Blauburgunder / Pinot nero,NA,France
Pinotage,NA,South Africa
Piquepoul noir,NA,"France, Rhone Valley and Languedoc"
Plassa,NA,"Italy, Piedmont"
Plavina / Brajda Mala / Brajdica / Bratkovina / Jurkovica / Marasovka /Modrulj / Plavac Plavina /Plavinac /Plavina Mala / Plavina Sitnah / Plavina Velka / Plavka / Plavka Mala / Velika Plavka,NA,"Croatia, Dalmatia"
Pollera nera,NA,"Italy, Liguria wine"
Portan,NA,"France, Languedoc-Roussillon wine"
Poulsard/ Plousard,NA,"France, Jura wine"
Prieto Picudo,NA,"Spain, Province of León"
Prokupac,NA,Serbia
Raboso,NA,"Italy, Veneto"
Ramisco,NA,"Portugal, Colares DOC"
Reberger,NA,Germany
Refosco / Refošk,Teran[6][better source needed],"Italy, Friuli-Venezia Giulia wine"
Rimava,NA,Slovakia
Roesler,NA,Austria
Rondinella,NA,"Italy, Veneto"
Rossese,NA,"Italy, Liguria wine"
Rossignola,NA,"Italy, Veneto"
Rossolino nero,NA,"Italy, Valtellina, Lombardy wine"
Rotberger,NA,Germany
Rouchet/ Ruché / Roche,NA,"Italy, Piedmont"
Rubintos,NA,Hungary
Ruby Cabernet,"Ruby Chablais, Ruby Chablis","USA, California"
Rufete / Tinta Pinheira / Tinta Carvalha / Rufeta,NA,"Portugal, Douro DOC"
Sagrantino,NA,"Italy, Umbria"
Sangiovese,NA,"Italy, Tuscany"
San Giuseppe nero,NA,"Italy, Lazio"
Saperavi,NA,Georgia
Schiava / Trollinger,NA,"Italy, Trentino-Alto Adige/Südtirol wine"
Schioppettino,NA,"Italy, Friuli-Venezia Giulia wine"
Schönburger,NA,Germany
Sciacarello,NA,Italy
Sciascinoso / Olivella nera,NA,"Italy, Campania"
Segalin / Ségalin,NA,France
Servanin,NA,"France, Isère"
Sgaretta/Sgavetta,NA,"Italy, Emilia-Romagna"
Shiraz / Syrah,NA,France
Shiroka Melnishka Losa / Melnik,NA,Bulgaria
Sousão/Souzão/Sousón,NA,"Portugal, Minho Province"
St. Laurent / Svatovavrinecke,NA,France
Saint-Macaire,NA,"France, South-West"
Sumoll,NA,"Spain, Catalonia"
Susumaniello,NA,"Italy, Puglia"
Tannat,NA,"France, South West France (wine region)"
Tarrango,NA,Australia
Tazzelenghe,NA,"Italy, Friuli-Venezia Giulia wine"
Tempranillo / Tinta Roriz / Ull de Llebre / Cencibel / Tinta del Pais,NA,"Spain, Rioja (wine)"
Termarina rossa,NA,"Italy, Emilia-Romagna"
Teroldego / Teroldego Rotaliano,NA,"Italy, Trentino-Alto Adige/Südtirol wine"
Terret noir,NA,"France, Rhone valley"
Thiniatiko,NA,Greece
Tibouren,NA,"France, Provence"
Tinta Amarela,NA,Portugal
Tinta Barroca,NA,"Portugal, Douro"
Tinta Caiada,NA,Portugal
Tinta Carvalha,NA,"Portugal, Trás-os-Montes e Alto Douro Province"
Tinta Francisca,NA,"Portugal, Douro DOC"
Tinta Madeira,NA,Portugal
Tinta Miuda,NA,"Portugal, Oeste Subregion"
Tinta Negra Mole / Preto Martinho,NA,"Portugal, Madeira"
Tinto Cão,NA,"Portugal, Douro"
Touriga Franca / Touriga Francesa,NA,"Portugal, Dão DOC"
Touriga Nacional / Azal Espanhol / Preto de Mortágua,NA,"Portugal, Douro"
Turán,NA,Hungary
Trepat,NA,"Spain, Conca de Barberà (DO)"
Trevisana nera,NA,"Italy, Veneto"
Trincadeira/ Castelão / Torneiro,NA,"Portugal, Alentejo wine"
Usakhelauri,NA,"Georgia, Racha-Lechkhumi and Kvemo Svaneti"
Uva di Troia /Nero di Troia/ Sumarello/ Uva di Canosa/ Uva di Barletta/ Troiano/ Tranese / Uva della Marina.,NA,"Italy, Apulia"
Uvalino,NA,"Italy, Piedmont"
Uva Rara,NA,"Italy, Piedmont and Lombardy"
Uva Tosca,NA,"Italy, Emilia-Romagna"
Vaccarese / Vaccarèse/ Brun Argenté,NA,"France, Rhone"
Valdiguié / Brocol / Napa Gamay / Gamay 15,NA,"France, Languedoc-Roussillon"
Valentino nero,NA,"Italy, Piedmont"
Vermentino nero,NA,"Italy, Tuscany"
Vespolina,NA,"Italy, Piedmont"
Vien de Nus,NA,"Italy, Valle d'Aosta DOC"
Volidza/Volitsa,NA,"Greece, high altitudes in the Peloponnese region"
Vranac,NA,Montenegro
Vuillermin,NA,"Italy, Aosta Valley"
Wildbacher/Blauer Wildbacher,NA,Austria
Wrothham Pinot,NA,France
Xinomavro,Xynomavro,"Greece, Central Macedonia"
Žametovka,NA,Slovenia
Zinfandel / Crljenak Kaštelanski / Primitivo,NA,Croatia
Zweigelt / Zweigeltrebe / Rotburger,NA,Austria
